,Hike,Region,Length,gain,highpoint,rating,rating_count,summary,feats,Good for kids,Fall foliage,Rivers,Wildflowers/Meadows,Ridges/passes,Dogs allowed on leash,Mountain views,Old growth,Summits,Waterfalls,Lakes,Established campsites,Dogs not allowed,Wildlife,Coast,summary_score,neg,neu,pos,Lon,Lat
729,Crescent Lake,CENTRAL CASCADES -- STEVENS PASS - EAST,12.0,3732.0,5489.0,2.67,3,save yourself the sweat of a summit attempt and simply bask at the cool shores of this delightful little lake,"['Mountain views', 'Dogs allowed on leash', 'Rivers', 'Lakes', 'Ridges/passes']",0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.875,0.0,0.615,0.385,-122.56887252029898,47.39159425
730,Cow Creek Meadows,CENTRAL CASCADES -- ENTIAT MOUNTAINS/LAKE CHELAN,11.25,3500.0,5000.0,4.14,7,hike through an old burn zone to reach an idyllic meadow high in the entiat mountains,"['Wildflowers/Meadows', 'Wildlife', 'Lakes', 'Established campsites', 'Rivers']",0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0258,0.0,0.932,0.068,-120.7206589785562,48.0463423
731,Crater Lake,CENTRAL CASCADES -- STEVENS PASS - WEST,2.0,550.0,3500.0,3.86,7,the short route to crater lake was originally constructed by miners and fishermen and is not a well maintained trail however the tread is well defined and generally easy to follow,['Lakes'],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0701,0.108,0.805,0.086,-121.53688677889991,47.708332350000006
732,Cowboy Mountain,CENTRAL CASCADES -- STEVENS PASS - WEST,,,5853.0,2.67,3,a scramble up a peak near stevens pass climbing experience and avy equipment required,[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-121.0997062,47.7324398
733,County Line,SNOQUALMIE REGION -- SALMON LA SAC/TEANAWAY,10.0,1875.0,5700.0,3.2,5,a multi use trail connecting with the teanaway ridge trail and continuing on to miller peak,"['Wildflowers/Meadows', 'Mountain views', 'Dogs allowed on leash', 'Ridges/passes']",0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-64.5945179,44.1804663
734,Holden Village to High Bridge,CENTRAL CASCADES -- ENTIAT MOUNTAINS/LAKE CHELAN,32.0,,,,0,a more than 30 mile hike on the west side of lake chelan from holden village to high bridge at the north end of stehekin,"['Wildflowers/Meadows', 'Ridges/passes', 'Established campsites', 'Mountain views', 'Dogs not allowed', 'Waterfalls', 'Lakes', 'Rivers']",0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,
735,Cleveland Mountain,CENTRAL CASCADES -- STEVENS PASS - WEST,12.0,,5280.0,1.0,1,a scramble to a peak off highway 2 overlooking money creek routefinding and climbing experience required,['Summits'],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-121.42399,47.6809414
736,Cooper River Snowshoe,SNOQUALMIE REGION -- SALMON LA SAC/TEANAWAY,8.0,400.0,2900.0,3.25,4,a snowy ramble along a river east of snoqualmie pass,['Dogs allowed on leash'],0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,
737,Colchuck Lake,CENTRAL CASCADES -- LEAVENWORTH AREA,8.0,2280.0,5580.0,4.38,96,set beneath two of washington s tallest peaks colchuck lake is an alpine gem it is a larger cousin to the nearby fabled enchantment lakes and offers many of the same payoffs including groves of larches on its far shore but can be reached with less than half the effort,"['Mountain views', 'Established campsites', 'Dogs not allowed', 'Summits', 'Lakes', 'Fall foliage', 'Rivers']",0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.1531,0.0,0.967,0.033,-120.83328886088879,47.4931862
738,Company Creek,CENTRAL CASCADES -- ENTIAT MOUNTAINS/LAKE CHELAN,22.0,5400.0,6600.0,2.75,4,a trail that climbs out of the stehekin river valley and into the glacier peak wilderness,"['Mountain views', 'Summits', 'Rivers', 'Ridges/passes']",0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-120.7681375,48.3331108
739,Coal Mines Trail,SNOQUALMIE REGION -- CLE ELUM AREA,9.4,453.0,2375.0,,0,the coal mines trail is a mellow hike from cle elum through roslyn and on to ronald with views of many different coal mining remains this trail is great for hiking biking horseback riding and running,"['Dogs allowed on leash', 'Good for kids']",1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6249,0.0,0.892,0.108,-120.9937079,47.2251677
740,Copper Creek,CENTRAL CASCADES -- ENTIAT MOUNTAINS/LAKE CHELAN,4.2,2300.0,5600.0,3.5,4,the copper creek trail leaves from holden village in the north cascades this trail is relatively short but wastes no time in gaining elevation,"['Wildflowers/Meadows', 'Mountain views', 'Dogs allowed on leash']",0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2263,0.098,0.772,0.13,-121.9682758,46.777088
741,Commonwealth Basin Snowshoe,SNOQUALMIE REGION -- SNOQUALMIE PASS,10.0,2300.0,5300.0,3.71,7,the snowshoe route into commonwealth basin is not clearly marked or blazed visitors here should plan their route in advance go prepared for winter travel and be able to identify avalanche risk,['Dogs allowed on leash'],0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3523,0.124,0.823,0.054,,
742,Cold Creek Loop via Tinkham and Silver Peaks,SNOQUALMIE REGION -- SNOQUALMIE PASS,8.0,2600.0,4500.0,3.44,9,this loop takes you past two clear and calm lakes up a steep brushy trail to the beautifully manicured pacific crest trail then west under the blocky granite summit of tinkham peak and the shining pyramid of silver peak before dropping to windy pass,"['Wildflowers/Meadows', 'Ridges/passes', 'Dogs allowed on leash', 'Established campsites', 'Mountain views', 'Lakes', 'Fall foliage']",0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.8225,0.0,0.823,0.177,,
743,Chihuly Trail,CENTRAL CASCADES -- LEAVENWORTH AREA,,,,3.5,2,a short trail that offers an hour or so of pleasant hiking near the sleeping lady resort in leavenworth,"['Mountain views', 'Summits']",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5542,0.0,0.826,0.174,,
744,CCC Road: Upper Trailhead,SNOQUALMIE REGION -- NORTH BEND AREA,6.8,400.0,1450.0,3.5,8,the upper section of the ccc road is just adjacent to the middle fork road hiking this way you ll avoid the somewhat confusing lower section where dnr and private property bump up against each other here the trail is on national forest land so you ll need a northwest forest pass but the 3 4 miles to the middle fork campground pass through uninterrupted quiet forest creeks and lovely views of the nearby peaks,"['Old growth', 'Rivers']",0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5908,0.056,0.877,0.067,,
745,Chelan Ridge,CENTRAL CASCADES -- ENTIAT MOUNTAINS/LAKE CHELAN,1.2,250.0,,,0,the short hike offers lofty views into the lake chelan and methow river valleys and is ideal for observing raptors during their annual migration,"['Mountain views', 'Wildlife', 'Summits', 'Good for kids']",1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5267,0.0,0.871,0.129,-120.1911071,47.8662129
746,Carne Mountain,CENTRAL CASCADES -- STEVENS PASS - EAST,7.3,3600.0,7085.0,4.24,21,carne mountain is a challenging yet rewarding hike to the brilliant gold colors of the western larches against a backdrop of blue autumn sky and indigo mountains they are a dazzling sight,"['Wildflowers/Meadows', 'Mountain views', 'Dogs allowed on leash', 'Summits', 'Fall foliage']",0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8316,0.0,0.747,0.253,-120.8030315,48.0885535
747,CCC Road: Blowout Creek Trailhead,SNOQUALMIE REGION -- NORTH BEND AREA,7.0,620.0,1520.0,2.5,10,the blowout creek trailhead offers a more secluded adventure than the ccc road lower section despite its route along an old road climb a moderate grade alongside blowout creek for almost a mile before arriving at the ccc road trail then hike to a beautiful waterfall,"['Mountain views', 'Old growth', 'Rivers', 'Dogs allowed on leash', 'Waterfalls']",0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.6461,0.046,0.818,0.136,,
748,Canyon Lake,CENTRAL CASCADES -- ENTIAT MOUNTAINS/LAKE CHELAN,12.0,3800.0,6400.0,2.17,6,a rewarding hike on an unmaintained trail takes you past peaks and across meadows to a stunning lake,"['Wildflowers/Meadows', 'Mountain views', 'Lakes', 'Ridges/passes']",0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.7184,0.0,0.7,0.3,-121.70580428921596,48.110370599999996
749,Chatter Creek,CENTRAL CASCADES -- LEAVENWORTH AREA,11.0,3800.0,6400.0,4.0,4,a great option for a day hike chatter creek connects up with the popular icicle ridge trail which allows for even further wandering,"['Mountain views', 'Dogs allowed on leash', 'Rivers', 'Established campsites', 'Ridges/passes']",0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.7845,0.0,0.734,0.266,-120.88931,47.607202
750,Cascade Creek,CENTRAL CASCADES -- BLEWETT PASS,4.8,2400.0,6000.0,2.5,4,an overgrown and hard to follow trail in the alpine lakes wilderness cascade creek offers intrepid hikers backdoor access to navaho peak and the possibility of loops in and all around the teanaway area,"['Mountain views', 'Dogs allowed on leash', 'Rivers', 'Fall foliage', 'Ridges/passes']",0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1027,0.041,0.959,0.0,-120.8126275,47.4362121
751,CCC Road: Lower Section,SNOQUALMIE REGION -- NORTH BEND AREA,8.0,550.0,1650.0,4.0,3,the 1930s saw civilian conservation corps ccc teams building trail in the woods all over america the middle fork snoqualmie road benefited from these efforts which constructed the ccc road a 13 5 mile long route that parallels roughly the middle fork snoqualmie road the lower section can be tricky to navigate as it borders private property and signage here can send mixed messages the trail itself is on dnr land but be sure to bring an up to date map to verify your location as you hike,[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2617,0.033,0.934,0.033,,
752,Canoe Peak,SNOQUALMIE REGION -- NORTH BEND AREA,3.0,3600.0,5400.0,,0,a peak scramble in the alpine lakes wilderness canoe peak is a lesser summit near lennox mountain previous climbing experience and route finding skills are recommended for canoe peak,"['Mountain views', 'Summits']",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2023,0.0,0.935,0.065,-121.479973,47.651211
753,Chelan Butte,CENTRAL CASCADES -- ENTIAT MOUNTAINS/LAKE CHELAN,7.46,2500.0,,3.91,11,a moderate hike up the side of chelan butte and across the top of the ridge promises outstanding views of the columbia plateau columbia river lake chelan and surrounding areas,"['Wildflowers/Meadows', 'Mountain views', 'Wildlife', 'Dogs allowed on leash', 'Lakes', 'Rivers']",0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.8126,0.0,0.756,0.244,-120.033682,47.80708
754,Cedar Butte,SNOQUALMIE REGION -- NORTH BEND AREA,3.5,900.0,1880.0,3.33,51,take a short hike up a forested butte near rattlesnake lake just 1 75 miles each way with 900 feet of elevation gain reach a summit with views toward the north from mount si to mailbox peak and several other peaks in between some hikers judge cedar butte to be a better viewpoint than the much visited west tiger 3 summit and it requires less effort and has smaller crowds so when you are ready for a change of scene check it out,"['Mountain views', 'Dogs allowed on leash', 'Summits', 'Good for kids', 'Ridges/passes']",1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.836,0.0,0.879,0.121,-121.741775,47.4337143
755,Boulder Lake,CENTRAL CASCADES -- STEVENS PASS - WEST,13.8,2140.0,3700.0,2.5,4,boulder lake has been rendered inaccessible by a trail washout just past the junction with the greider lakes trail,"['Old growth', 'Lakes', 'Established campsites']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-121.32641269920259,48.332647800000004
756,De Roux Creek - Gallagher Head Lake,SNOQUALMIE REGION -- SALMON LA SAC/TEANAWAY,8.0,1900.0,5600.0,3.57,7,take a trip through the fragrant teanaway forest along a burbling creek and up to a large lake where equestrians orvers mountain bikers and hikers can all enjoy the majestic scenery,"['Wildflowers/Meadows', 'Mountain views', 'Dogs allowed on leash', 'Lakes', 'Ridges/passes']",0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.4939,0.0,0.894,0.106,,
757,Cady Ridge,CENTRAL CASCADES -- STEVENS PASS - EAST,14.0,3015.0,5551.0,3.67,9,when it comes to resplendent alpine meadows the henry m jackson wilderness can t be beat and when it comes to the finest flower romps within that wild area named for the longtime washington senator and champion of conservation cady ridge ranks supreme a multitude of blossoms proliferate along this mile high ridge but it the lupines that dominate transforming cady into a purple mountain majesty and views from the inspiring poet peaks to the emerald cloaked summits along the cascade crest to cloud piercing snow catching ice harboring horizon dominating glacier peak,"['Wildflowers/Meadows', 'Mountain views', 'Dogs allowed on leash', 'Ridges/passes']",0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5994,0.047,0.866,0.087,-121.0904332,47.9170899
758,Cady Creek,CENTRAL CASCADES -- STEVENS PASS - EAST,5.2,1300.0,4300.0,2.8,5,a trail that can help hikers create multiple loops in the okanogan wenatchee national forest the the cady creek trail is a steep ascent from the brushy and mucky cady creek valley bottom,"['Mountain views', 'Dogs allowed on leash', 'Good for kids', 'Ridges/passes']",1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5859,0.0,0.858,0.142,-121.1292539,47.9276233
759,Cairn Hill,CENTRAL CASCADES -- BLEWETT PASS,5.0,850.0,4745.0,,0,just three miles west of blewett pass cairn hill is one of two popular summits in the area despite its relatively low elevation in comparison to the surrounding peaks of diamond head and the teanaway cairn hill affords hikers who venture up it beautiful panoramas of the surrounding peaks,"['Mountain views', 'Summits', 'Ridges/passes']",0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8724,0.0,0.805,0.195,127.99855,-26.2046
760,Camas Meadows,CENTRAL CASCADES -- BLEWETT PASS,2.0,350.0,3200.0,2.0,6,this beautiful meadow is visible from a variety of logging roads that surround it visitors are asked to not walk in the meadow as it is a protected research area and a fragile ecosystem,"['Wildflowers/Meadows', 'Good for kids', 'Fall foliage']",1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7783,0.0,0.81,0.19,-120.57739512391358,47.473842149999996
761,Bridal Veil Falls,CENTRAL CASCADES -- STEVENS PASS - WEST,4.0,1000.0,1600.0,4.0,69,a beautiful waterfall flows out of lake serene and cascades below the rugged east wall of mount index at the end of a trail on the west side of bridal veil creek take time to see and enjoy a stunning view of bridal veil falls and climb flights of steps paralleling the falls,"['Mountain views', 'Dogs allowed on leash', 'Good for kids', 'Waterfalls']",1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9136,0.0,0.784,0.216,-121.567351,47.7908129
762,Boulder Creek,CENTRAL CASCADES -- LEAVENWORTH AREA,17.25,4850.0,6310.0,3.0,5,boulder river leads to magnificent views of napeequa valley and the glacier peak wilderness,"['Wildflowers/Meadows', 'Ridges/passes', 'Wildlife', 'Mountain views', 'Old growth', 'Dogs allowed on leash', 'Rivers']",0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5994,0.0,0.769,0.231,-123.6603749,47.9838465
763,Buck Creek Pass,CENTRAL CASCADES -- STEVENS PASS - EAST,19.2,,6000.0,3.86,7,glacier peak wilderness northwest of lake wenatchee you can barely see glacier peak from the westside of the cascades not so from the buck creek trail where it looms over you like a white monolith add to that fields of late summer flowers and a pleasant afternoon breeze and you may be close to rapture,"['Wildflowers/Meadows', 'Mountain views', 'Wildlife', 'Dogs allowed on leash', 'Ridges/passes']",0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.7003,0.028,0.845,0.128,-120.9627809,48.143824
764,Blue Lake High,CENTRAL CASCADES -- STEVENS PASS - EAST,,,,3.5,4,the blue lakes high route ascends a steep cairn dotted trail to a high pass with a beautiful view across to johnson mountain and down to a sometimes frozen blue lake in a rocky basin below,"['Mountain views', 'Dogs allowed on leash', 'Lakes', 'Fall foliage']",0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5994,0.0,0.885,0.115,-121.165469,47.9845487
765,Beverly Turnpike,SNOQUALMIE REGION -- SALMON LA SAC/TEANAWAY,7.4,2350.0,5800.0,2.75,8,spanning the wenatchee mountains and offering views of the backside of the enchantment peaks the beverly turnpike trail named for the two creeks it parallels offers a straightforward out and back hike to a pass or a more rugged thru hike into the ingalls creek drainage it also can be used to create loop hikes or access nearby peaks hikers share this trail with mountain bikes and horses and it isn t uncommon to see occasional evidence of them along the way,"['Wildflowers/Meadows', 'Mountain views', 'Dogs allowed on leash', 'Ridges/passes', 'Fall foliage', 'Rivers']",0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5106,0.0,0.946,0.054,-120.8720675,47.3893748
766,Big Creek Falls,SNOQUALMIE REGION -- NORTH BEND AREA,11.0,,,3.71,7,take a leisurely hike on an old logging road to a beautiful waterfall,"['Old growth', 'Rivers', 'Good for kids', 'Dogs allowed on leash', 'Waterfalls']",1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5994,0.0,0.719,0.281,-121.455378,47.5853474
767,Blowout Mountain,SNOQUALMIE REGION,4.6,650.0,5450.0,3.0,4,this trail takes you to blowout mountain through a forested area the views from the mountain are spectacular,"['Ridges/passes', 'Wildlife', 'Mountain views', 'Dogs allowed on leash', 'Old growth']",0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,-121.3031205,47.1398134
768,Big Chief Mountain,CENTRAL CASCADES -- STEVENS PASS - WEST,,,5858.0,2.0,3,a hike up to the highest point on the stevens pass ski area,[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-121.062599,47.7465006
769,Blanca Lake,CENTRAL CASCADES -- STEVENS PASS - WEST,7.5,3300.0,4600.0,4.45,143,visit one of the most striking lakes in the henry m jackson wilderness the vibrant blue of the glacier fed lake provides the perfect rest stop for hikers who have braved the thirty odd steep switchbacks that lead to the lake,"['Mountain views', 'Dogs allowed on leash', 'Established campsites', 'Waterfalls', 'Old growth', 'Summits', 'Lakes']",0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.7579,0.091,0.707,0.202,-121.34051194128975,47.9403596
770,Blue Buck,CENTRAL CASCADES,,,,3.25,4,,[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-120.0514682,48.4901456
771,Big Tree Loop,CENTRAL CASCADES -- STEVENS PASS - EAST,1.0,,2000.0,3.25,4,the big tree loop trail located in the closed soda springs campground has not had any maintenance for five years or more bridges are missing from creeks and devil club blocks some sections of the trail yet the grove of four foot wide conifers stands tall wildflowers bloom brightly in summer and autumn leaves glow brilliantly in october,[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3102,0.128,0.776,0.095,116.042192,-34.335379
772,Blackbird Island - Waterfront Park,CENTRAL CASCADES -- LEAVENWORTH AREA,2.0,100.0,1100.0,5.0,2,bird salmon history and river lovers will enjoy this trail in a leavenworth park,"['Dogs allowed on leash', 'Good for kids', 'Rivers']",1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.765,0.0,0.625,0.375,,
773,Bandera Mountain,SNOQUALMIE REGION -- NORTH BEND AREA,8.0,3400.0,5240.0,4.24,114,there are two sides to bandera mountain gentle and well groomed on the one hand rough and untamed on the other together they make for a very satisfying hike along a rocky ridge to a false summit little bandera with views impressive enough to dissuade most from completing the final half mile of informal trail to the real summit,"['Wildflowers/Meadows', 'Ridges/passes', 'Dogs allowed on leash', 'Fall foliage', 'Mountain views', 'Summits', 'Waterfalls']",0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9299,0.0,0.775,0.225,-121.5383558,47.4156475
774,Avalanche Mountain,SNOQUALMIE REGION -- SNOQUALMIE PASS,8.5,3000.0,5400.0,,0,a winter scramble to the summit of a mountain in snoqualmie pass technical experience and equipment required,"['Mountain views', 'Summits', 'Lakes']",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-121.4306795,47.4694031
775,Baldy Mountain,CENTRAL CASCADES -- ENTIAT MOUNTAINS/LAKE CHELAN,6.25,2394.0,6412.0,,0,route finding expertise is necessary to successfully complete this hike,"['Mountain views', 'Dogs allowed on leash', 'Summits', 'Lakes']",0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.4939,0.0,0.738,0.262,-117.5113593,48.8229704
776,Bare Mountain,SNOQUALMIE REGION -- NORTH BEND AREA,8.6,3300.0,5353.0,3.77,22,bare mountain the site of a former fire lookout is a superb viewpoint with mountains in every direction and lakes close by in season appreciate the great variety of wildflowers beginning at the trailhead and continuing all the way to the summit and be alert for birds and wild critters they are out there,"['Wildflowers/Meadows', 'Ridges/passes', 'Wildlife', 'Mountain views', 'Dogs allowed on leash', 'Summits', 'Lakes', 'Fall foliage']",0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.8934,0.038,0.752,0.21,-121.5074317,47.6494637
777,Bean Peak,SNOQUALMIE REGION -- SALMON LA SAC/TEANAWAY,1.4,1143.0,6743.0,4.0,5,from bean creek basin a combination of boot trail and scramble lead to the high point 6743 known as bean peak the 360 degree views provide a great perspective for the peaks of the teanaway and to the north the stuart range,['Summits'],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6249,0.0,0.905,0.095,-120.8613682,47.4204747
778,Asahel Curtis Nature Trail,SNOQUALMIE REGION -- SNOQUALMIE PASS,0.5,180.0,2000.0,2.86,7,this short loop just off of interstate 90 offers an easy escape to nature with plenty to keep little ones occupied and just enough mileage to give your legs a little workout this is a delightful detour for anyone venturing west or east over snoqualmie pass,"['Old growth', 'Good for kids']",1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8126,0.0,0.83,0.17,-121.4741046,47.3927607
779,Bearscout Peak,SNOQUALMIE REGION -- SNOQUALMIE PASS,,,5210.0,,0,bear lake and sections of bearscout peak are in the cedar river watershed and are closed to the public consult a map before venturing out in order to avoid trespassing,[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.296,0.073,0.927,0.0,-121.4993438,47.3490011
780,West Cady Ridge to Benchmark Mountain,CENTRAL CASCADES -- STEVENS PASS - WEST,14.4,3700.0,5816.0,3.5,8,climb through rich old growth forest to miles of some of the finest ridge walking available in washington where alpine meadows and jaw dropping views abound,"['Wildflowers/Meadows', 'Dogs allowed on leash']",0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7351,0.0,0.795,0.205,,
781,Bessemer Mountain,SNOQUALMIE REGION -- NORTH BEND AREA,13.0,4100.0,5028.0,3.18,11,not every hike is pristine or an easy trek and bessemer fits this definition this trail is almost completely a logging road much of which is still active if you are still reading let me say it is not without its charms the forest is recovering views of the snoqualmie region are fantastic and due to its low elevation it is accessible virtually year round,[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8458,0.029,0.816,0.155,-121.608158,47.560107
782,Badlands Trail,CENTRAL CASCADES -- STEVENS PASS - EAST,5.0,1300.0,6200.0,3.5,4,the badlands trail links hatchery creek to painter creek trails over it 5 mile length but a fire in recent years has rendered this trail nearly unnavigable,[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4767,0.114,0.886,0.0,-120.8035318,47.673215
783,Bald Eagle Mountain,CENTRAL CASCADES -- STEVENS PASS - WEST,27.2,3800.0,5800.0,1.5,4,enjoy a peaceful river walk followed by nicely graded switchbacks on the way to bald eagle mountain views of monte cristo and surrounds will be the reward for your efforts,"['Wildflowers/Meadows', 'Mountain views', 'Rivers', 'Ridges/passes', 'Waterfalls']",0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9186,0.0,0.658,0.342,-121.251215,47.9573305
784,Basalt Ridge,CENTRAL CASCADES -- STEVENS PASS - EAST,17.0,4900.0,7400.0,3.0,4,the basalt ridge trail is 8 5 miles long and is used primarily by hikers mountain bikers and stock users it begins at the basalt ridge trailhead on chiwawa river road 6200 and ends at the garland peak trail,"['Wildflowers/Meadows', 'Mountain views', 'Dogs allowed on leash', 'Established campsites']",0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-117.4223444,47.5919
