,Hike,Region,Length,gain,highpoint,rating,rating_count,summary,feats,Good for kids,Fall foliage,Rivers,Wildflowers/Meadows,Ridges/passes,Dogs allowed on leash,Mountain views,Old growth,Summits,Waterfalls,Lakes,Established campsites,Dogs not allowed,Wildlife,Coast
394,Pete Lake,SNOQUALMIE REGION -- SALMON LA SAC/TEANAWAY,9.0,400.0,3200.0,3.44,32,"The Pete Lake trail is a mild-mannered path with something to offer for hikers, campers, children, birders, wildlife enthusiasts, and aquaphiles. This even-tempered route follows the Cooper River 4.5 miles to its headwater, passing through a diverse old-growth forest and terminating at an alpine lake sitting in the shadows of Big Summit Chief and Chimney Rock.","['Wildflowers/Meadows', 'Mountain views', 'Wildlife', 'Established campsites', 'Dogs allowed on leash', 'Old growth', 'Good for kids', 'Lakes', 'Rivers']",1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
395,Preston-Snoqualmie Trail,SNOQUALMIE REGION -- NORTH BEND AREA,13.0,500.0,,3.0,1,"Preston – Snoqualmie is a 6.5 mile one-way, paved, mostly flat, rail-to-trail path connecting the cities of Preston and Snoqualmie. Open to hikers, bikers and equestrians, the trail meanders through a densely wooded path intermittently offers unique perspectives of the Snoqualmie River Valley, leading to a non-touristy, zoomed-out viewpoint of Snoqualmie Falls against the backdrop of Mount Si.","['Dogs allowed on leash', 'Old growth', 'Wildlife', 'Rivers']",0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
396,Purple Pass,CENTRAL CASCADES -- ENTIAT MOUNTAINS/LAKE CHELAN,15.0,5700.0,6884.0,4.0,1,"A long, steady climb takes you from the Stehekin Landing to a high pass more than a mile above the surface of Lake Chelan. Those willing to complete the eight miles and 5,700 feet of climbing needed to reach the pass are rewarded with incredible views of the lake gorge, the Stehekin Valley and peaks stretching from the Cascade Pass area to the Glacier Peak Wilderness.","['Wildflowers/Meadows', 'Ridges/passes', 'Wildlife', 'Mountain views', 'Summits', 'Lakes']",0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
397,Polallie Ridge,SNOQUALMIE REGION -- SALMON LA SAC/TEANAWAY,8.0,3000.0,5300.0,2.83,12,"Heading right up the nose of the ridge it’s named after, Polallie will give you a workout. It’s steep, it’s rocky, and there are very few views. Head all the way to Diamond Lake for an overnight, go further into the Alpine Lakes wilderness, or call it quits whenever your glutes have had enough.","['Wildflowers/Meadows', 'Mountain views', 'Wildlife']",0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
398,Pipe Creek Loop Snowshoe,CENTRAL CASCADES -- BLEWETT PASS,4.1,900.0,,3.0,1,"Take this 4-mile trek along an old forest road, to peek-a-boo views of the Teanaway ridges and quiet forest.","['Mountain views', 'Wildlife', 'Good for kids', 'Dogs allowed on leash', 'Rivers']",1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
399,Prince Creek,CENTRAL CASCADES -- ENTIAT MOUNTAINS/LAKE CHELAN,,,,3.75,4,"Prince Creek is the starting point for hikers tackling the full Lakeshore Trail, a popular spring backpacking trip. This trail is free from winter snow earlier than many thanks to its low elevation, and because of that, it can get quite full in the early season. Consider starting your hike midweek if you prefer to hike in solitude.","['Mountain views', 'Wildlife', 'Dogs allowed on leash', 'Lakes', 'Established campsites']",0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
400,Phelps Creek,CENTRAL CASCADES -- STEVENS PASS - WEST,7.2,3500.0,5500.0,3.5,6,"Phelps Creek Trail offers relatively easy access to the remote Glacier Peak Wilderness, particularly Spider Meadows and the larch-ridden Carne Mountain.","['Wildflowers/Meadows', 'Mountain views', 'Dogs allowed on leash', 'Established campsites', 'Ridges/passes', 'Good for kids', 'Rivers']",1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
401,Pugh Ridge,CENTRAL CASCADES -- ENTIAT MOUNTAINS/LAKE CHELAN,12.4,2833.0,6783.0,3.2,5,"Pugh Ridge is a steep ridgeline trail branching off of the North Fork Entiat around 2.5 miles in, and connecting back down with South Pyramid Creek, making for a ideal loop trip.","['Wildflowers/Meadows', 'Mountain views', 'Wildlife', 'Ridges/passes']",0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
402,Poet Ridge (Little Wenatchee Ridge),CENTRAL CASCADES -- STEVENS PASS - EAST,15.0,,,3.0,1,A 15-mile one-way bushwhack route along a long ridge west of Lake Wenatchee and north of Highway 2. Route-finding skills required.,[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
403,Painter Creek,CENTRAL CASCADES -- STEVENS PASS - EAST,9.4,2500.0,6200.0,2.25,4,"This infrequently-maintained trail in the Icicle Creek area provides access to Icicle Ridge and Lake Ida, but requires the navigation skills.",[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
404,Pear Lake,CENTRAL CASCADES -- LEAVENWORTH AREA,13.0,2200.0,5200.0,3.71,7,"An aptly-named alpine gem, Pear Lake nestles below Fortune Mountain and can be reached by combining the Top Lake Trail with a short jaunt north on the Pacific Crest Trail. It provides access and a jumping-off point for hikers, backpackers, equestrian riders and trail work parties alike headed into the backcountry of the Henry M. Jackson and Glacier Peak Wildernesses and beyond.","['Wildflowers/Meadows', 'Mountain views', 'Dogs allowed on leash', 'Lakes', 'Established campsites']",0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
405,Old Pass Hill,CENTRAL CASCADES -- BLEWETT PASS,13.0,,4885.0,2.0,1,"Old Pass Hill is located between Old Blewett Pass and Blewett Pass. The route offers beautiful panoramas of the Teanaway peaks Tronsen Ridge, but even with a decent snow pack, the slide alder that grows on disused logging roads can add difficulty to a trip to the summit. Like nearby Cairn Hill, this peak is on the exposed east side of the Cascades, so it's best to avoid on particularly cold days.","['Mountain views', 'Dogs allowed on leash', 'Summits']",0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
406,Pass Creek,CENTRAL CASCADES -- STEVENS PASS - WEST,7.0,1000.0,3250.0,2.4,5,Pass Creek is an easy access point to the Pacific Crest Trail (PCT) and provides opportunities for longer loop hikes open to stock when conditions permit.,"['Old growth', 'Rivers', 'Dogs allowed on leash', 'Waterfalls']",0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
407,Peoh Point,SNOQUALMIE REGION -- CLE ELUM AREA,6.0,50.0,,3.88,8,"Peoh Point offers 180-degree views of the Cle Elum Valley and the Stuart range from from atop a 2000-foot cliff with very steep dropoffs. While the views are stunning, use caution at the summit.",['Dogs allowed on leash'],0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
408,Olney Falls,CENTRAL CASCADES -- STEVENS PASS - WEST,,,,5.0,1,There is no public access to Olney Falls. Please refrain from visiting this area.,[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
409,Pacific Crest Trail (PCT) Section J - Snoqualmie Pass to Stevens Pass,SNOQUALMIE REGION -- SNOQUALMIE PASS,149.4,16000.0,,4.62,13,"Crossing through the stunning Alpine Lakes wilderness, this section is a must-do for serious Washington backpackers. This 75-mile section leads through some of the most beautiful, remote and varied surroundings along the PCT.","['Ridges/passes', 'Wildlife', 'Lakes', 'Rivers', 'Wildflowers/Meadows', 'Mountain views', 'Established campsites', 'Old growth', 'Fall foliage']",0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
410,Peggy's Pond,SNOQUALMIE REGION -- SALMON LA SAC/TEANAWAY,11.0,2300.0,5600.0,3.43,7,"Access to such a grand location, with such ease, should be illegal. For the low admission price of a half dozen miles one can gain entrance to a primordial world of receding glaciers, wildflower carpeted meadows, and purple mountains majesties. The last mile to the lake will test many hikers’ nerves but the rewards are worth it. This pond is an excellent destination unto itself. It is also a stepping stone to more ambitious cross country ramblings in the Alpine Lakes Wilderness.","['Wildflowers/Meadows', 'Mountain views', 'Lakes', 'Established campsites', 'Ridges/passes']",0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
411,Paddy-Go-Easy Pass,SNOQUALMIE REGION -- SALMON LA SAC/TEANAWAY,6.0,2560.0,6080.0,3.62,13,"The relentless but scenic climb up to Paddy-Go-Easy Pass is often used to access scrambling routes on nearby peaks, or further adventures beyond the pass. On its own, the Paddy-Go-Easy Pass trail offers views of Tucquala Lake and Mount Daniel as well as The Cradle and mountain ranges to the east.","['Wildflowers/Meadows', 'Mountain views', 'Dogs allowed on leash', 'Ridges/passes']",0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
412,Taylor River - Otter Falls,SNOQUALMIE REGION -- NORTH BEND AREA,11.0,650.0,1750.0,4.0,57,"Lose yourself in second-growth forest as you traverse an old logging road that heads into quiet wilderness just an hour from the urban sprawl of Puget Sound. Enjoy the sounds of water rushing and birds singing. Explore mossy boulders and cross multiple burbling creeks, even do a small amount of cross-country travel on the way to the piece de resistance – a 1,200 foot waterfall that streams into tiny Lipsy Lake before draining to the Taylor River.","['Dogs allowed on leash', 'Waterfalls', 'Good for kids', 'Lakes', 'Fall foliage', 'Rivers']",1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
413,North Scatter Creek,SNOQUALMIE REGION -- SALMON LA SAC/TEANAWAY,5.8,2900.0,6200.0,2.6,5,Hike a steep trail up to a high pass in the Wenatchee mountains above the upper Cle Elum River.,"['Wildflowers/Meadows', 'Mountain views', 'Wildlife', 'Ridges/passes', 'Summits', 'Dogs allowed on leash']",0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
414,North Fork Bridge Creek,CENTRAL CASCADES -- ENTIAT MOUNTAINS/LAKE CHELAN,13.0,1473.0,4099.0,3.33,3,"The North Fork of Bridge Creek is a tucked-away gem of a hike in the North Cascades National Park. Accessible from both the Stehekin valley and Highway 20, many people blaze past this side trip on their way along the Pacific Crest Trail (PCT). But if you choose to explore this branch, you'll be rewarded with stunning mountain valleys at the base of Mount Logan, one of many striking peaks in the North Cascades. Of course, you'll have to share the trail with brush, bugs, and maybe even bears to get there.","['Wildflowers/Meadows', 'Mountain views', 'Wildlife', 'Established campsites', 'Waterfalls', 'Dogs not allowed', 'Lakes', 'Rivers']",0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
415,North Fork Skykomish River,CENTRAL CASCADES -- STEVENS PASS - WEST,10.0,1000.0,4000.0,2.86,7,"This hike is a tree hugger's paradise. Huge old growth Douglas firs and hemlocks soar into the sky from a lush green forest floor dotted with woodland flowers. The trail gently ascends only 700 feet in the first four miles, and the slope you hike up is laced by many clear flowing streams bridged by old puncheons.","['Wildflowers/Meadows', 'Ridges/passes', 'Established campsites', 'Mountain views', 'Old growth', 'Summits', 'Rivers']",0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
416,North Fork Entiat River,CENTRAL CASCADES -- ENTIAT MOUNTAINS/LAKE CHELAN,26.0,4000.0,7150.0,2.5,4,"Experience the rugged beauty of the Entiat mountains, rich in wild flower meadows, jagged peaks, and solitude. These trails, though occasionally steep and loose, harbor fantastic corners, wildlife, and old-school outdoorsmanship that many crowded trails now lack.","['Wildflowers/Meadows', 'Mountain views', 'Wildlife', 'Established campsites', 'Dogs allowed on leash', 'Lakes', 'Fall foliage', 'Rivers']",0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
417,Nordic Pass - Hyak,SNOQUALMIE REGION -- SNOQUALMIE PASS,7.0,1600.0,4250.0,3.67,6,"Try this backcountry ski or snowshoe trail through deep forest, past lakes and with access to Windy Pass and Mount Catherine.","['Mountain views', 'Lakes', 'Rivers']",0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
418,North Fork Teanaway River,SNOQUALMIE REGION -- SALMON LA SAC/TEANAWAY,10.0,1700.0,4300.0,2.0,4,,"['Mountain views', 'Wildlife', 'Good for kids', 'Dogs allowed on leash']",1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
419,Old Gib,CENTRAL CASCADES -- LEAVENWORTH AREA,19.6,900.0,6300.0,3.0,4,A trail that goes from the Estes Butte Lookout site to Carne Mountain. Some parts may be overgrown and blowdown should be expected.,"['Dogs allowed on leash', 'Fall foliage']",0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
420,Old Ellensburg,CENTRAL CASCADES -- BLEWETT PASS,3.6,500.0,5700.0,2.5,4,"Beginning at Forest Road 9712 and ending at the Forest Boundary, the Old Ellensburg Trail comprises one third of the three trails used to make a popular loop around Mount Lillian.","['Wildflowers/Meadows', 'Fall foliage']",0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
421,Not So Sasse Peak,SNOQUALMIE REGION -- SALMON LA SAC/TEANAWAY,,,,,0,A scramble off of I-90 near Cle Elum. Route-finding experience recommended.,[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
422,Nordrum Lake,SNOQUALMIE REGION -- NORTH BEND AREA,19.0,4172.0,3675.0,2.88,8,"A steep and seldom traveled trail settled in what is now Alpine Lakes Wilderness, Nordrum Lake provides giant old-growth conifers, rivers, streams, waterfalls – and quite a workout! This narrow path cuts off the Taylor River/Snoqualmie Lake trail after about 6.5 miles, and doesn’t stop climbing until you reach the lake at about 3675’. But don’t worry, the giant cedars and firs provide shade throughout the entirety of the hike, keeping you cool on even the hottest of summer days.","['Mountain views', 'Dogs allowed on leash', 'Established campsites', 'Waterfalls', 'Old growth', 'Lakes', 'Rivers']",0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
423,Olallie Lake via Pratt Lake Trail,SNOQUALMIE REGION -- NORTH BEND AREA,6.0,,,4.17,12,Olallie Lake is a wonderful first-time destination for hikers or backpackers just beginning to discover trails.,"['Dogs allowed on leash', 'Wildlife', 'Good for kids', 'Lakes', 'Established campsites']",1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
424,Old Blewett Pass Highway,CENTRAL CASCADES -- BLEWETT PASS,8.2,1030.0,4064.0,,0,"This old road is managed for snowmobilers, cross-country skiers, and snowshoers, and it's a great way to enjoy a long, 8-mile snowshoe, or a shorter hike to views and history of the area.","['Mountain views', 'Dogs allowed on leash', 'Ridges/passes']",0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
425,Mount Si - Old Trail,SNOQUALMIE REGION -- NORTH BEND AREA,7.4,3420.0,3980.0,4.39,31,"The “old” trail that ascends Mount Si’s western flank offers a shorter, steeper, slightly more scenic, and if one dare say it — less crowded — route to the summit, where you can rejoin the rest of the people who flock to one of Snoqualmie Pass’s most popular hiking destinations.","['Wildflowers/Meadows', 'Mountain views', 'Wildlife', 'Waterfalls', 'Old growth', 'Summits', 'Dogs allowed on leash', 'Fall foliage']",0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
426,Myrtle Lake,CENTRAL CASCADES -- ENTIAT MOUNTAINS/LAKE CHELAN,8.0,650.0,3765.0,3.38,8,Myrtle Lake is a quaint lake nestled in the Entiat Mountains.,"['Mountain views', 'Wildlife', 'Established campsites', 'Dogs allowed on leash', 'Lakes', 'Rivers']",0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
427,Nason Ridge,CENTRAL CASCADES -- STEVENS PASS - EAST,21.9,3800.0,6200.0,3.75,8,"Hike a trail that traverses Nason Ridge. Along the way, you'll enjoy panoramic views of the surrounding summits, as well as access to an old fire lookout.","['Ridges/passes', 'Dogs allowed on leash', 'Summits']",0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
428,Snoqualmie Mountain,SNOQUALMIE REGION,3.8,3105.0,6278.0,4.47,15,A scramble to the summit of a peak near Alpental. Proper gear and expertise recommended.,"['Mountain views', 'Summits']",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
429,Nada Lake,CENTRAL CASCADES -- LEAVENWORTH AREA,10.6,3600.0,5200.0,3.57,7,"The Snow Lakes trail is known mostly as the long, gradual way into the Enchantments; but Nada Lake (and nearby Snow Lake) is a worthwhile - if deceptively grueling - destination in its own right. The narrow isthmus between the lakes offers a majestic view across the water to the towering heights of McClellan Peak.","['Mountain views', 'Dogs not allowed', 'Lakes', 'Established campsites']",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
430,Mount McCausland,CENTRAL CASCADES -- STEVENS PASS - EAST,7.0,1800.0,5747.0,4.78,40,"Mount McCausland delivers mountain views, lake views, and even solitude at the summit. The cost? The first three miles of the trail is easy, but the last half mile to the summit is steep and occasionally brushy. Taking a break on that climb is no hardship, though: the hillside is carpeted in berries and the views start early.","['Wildflowers/Meadows', 'Mountain views', 'Dogs allowed on leash', 'Summits', 'Lakes', 'Fall foliage']",0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
431,East Fork Foss - Necklace Valley,CENTRAL CASCADES -- STEVENS PASS - WEST,18.0,3400.0,5000.0,3.23,26,"The Necklace Valley makes a wonderful 2-3 night backpack trip for hearty hikers, and rewards with cool alpine lakes to swim and fish in, or just camp beside. Or take a day trip along the East Fork Foss River admire the amazing second-growth tree canopy.","['Wildflowers/Meadows', 'Mountain views', 'Established campsites', 'Old growth', 'Lakes', 'Rivers']",0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
432,Natapoc Mountain,CENTRAL CASCADES -- LEAVENWORTH AREA,6.3,2300.0,4204.0,,0,A summit scramble in the central Cascades.,"['Mountain views', 'Summits', 'Ridges/passes']",0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
433,Napeequa River,CENTRAL CASCADES -- STEVENS PASS - EAST,2.7,900.0,4900.0,2.8,5,"Far-off views of the Napeequa River are coveted among Cascade hikers, and rightly so. Actually reaching and hiking the Napeequa River Trail is, for most, a multi-day adventure in a remote corner of the Glacier Peak Wilderness that will leave memories of deep glacier-scoured walls, musical waterways, and meadows abuzz with life.","['Wildflowers/Meadows', 'Ridges/passes', 'Wildlife', 'Mountain views', 'Old growth', 'Waterfalls', 'Dogs allowed on leash', 'Rivers']",0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
434,Navaho Peak,SNOQUALMIE REGION -- SALMON LA SAC/TEANAWAY,13.7,4223.0,7223.0,4.54,24,"From Navaho Pass, the trail to Navaho Peak is siren-like, pulling you towards the summit long after you realize how tired you are. But for peak-baggers, or those simply interested in getting a gorgeous view from a relatively easy-to-navigate peak, the views are worth the extra effort.","['Wildflowers/Meadows', 'Mountain views', 'Dogs allowed on leash', 'Summits', 'Ridges/passes']",0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
435,Mount Baring,CENTRAL CASCADES -- STEVENS PASS - WEST,7.0,3500.0,6129.0,4.5,10,"A fairly well used climber's trail goes straight up, and up, and then up Mount Baring. The trail requires moderate navigational skills and possibly climbing equipment in bad weather.","['Mountain views', 'Old growth', 'Summits', 'Wildlife']",0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
436,Mount Clifty,SNOQUALMIE REGION -- CLE ELUM AREA,,,,3.25,4,A trail near Manastash Ridge.,[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
437,Minotaur Lake,CENTRAL CASCADES -- STEVENS PASS - EAST,3.5,1905.0,5580.0,3.97,31,"Tucked in a cirque a few miles east of Stevens Pass are Minotaur Lake, its immediate neighbor Theseus and overlooking Labyrinth Mountain. This group of alpine destinations, named for symbols in the Greek mythos, make for a great day hike and an excellent workout.","['Wildflowers/Meadows', 'Lakes']",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
438,Mount Lillian,CENTRAL CASCADES -- BLEWETT PASS,4.1,1100.0,6100.0,2.5,6,"Mount Lillian makes for a great day hike in spring, with its fabulous wildflowers and miles of incredible views paired with with mild elevation gains and mostly good trail.","['Wildflowers/Meadows', 'Mountain views', 'Dogs allowed on leash', 'Established campsites', 'Summits', 'Fall foliage']",0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
439,Mount Defiance,SNOQUALMIE REGION -- SNOQUALMIE PASS,11.0,3584.0,5584.0,4.39,49,"Hike trails though sub-alpine forest and across boulder fields and, in season, enjoy a multitude of wildflowers. Pass a beautiful mountain lake. Ascend to a 5584-foot summit and enjoy incredible views of Cascade peaks and nearby lakes.","['Wildflowers/Meadows', 'Mountain views', 'Summits', 'Lakes']",0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
440,Mount Fernow,CENTRAL CASCADES -- LEAVENWORTH AREA,44.0,5900.0,9249.0,,0,The route to Mount Fernow is a Class 4 and involves exposed climbing. Gear and experience are recommended.,"['Wildflowers/Meadows', 'Mountain views', 'Summits', 'Fall foliage', 'Ridges/passes']",0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
441,Mount Margaret,SNOQUALMIE REGION -- SNOQUALMIE PASS,5.5,2000.0,5459.0,4.32,19,"Hike up an abandoned road, through a logged area, and into mature forest on the edge of the Alpine Lakes wilderness. What the trail lacks in ruggedness is more than made up for by the quantity of berries that line the trail.","['Wildflowers/Meadows', 'Mountain views', 'Dogs allowed on leash', 'Ridges/passes', 'Summits', 'Fall foliage']",0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
442,Mount Maude,CENTRAL CASCADES -- STEVENS PASS - EAST,14.0,5400.0,9040.0,3.67,3,"A summit of a mountain in the central Cascades, accessible from Holden Village or the Phelps Creek trailhead.","['Mountain views', 'Dogs allowed on leash', 'Summits']",0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
443,Moore Point,CENTRAL CASCADES -- ENTIAT MOUNTAINS/LAKE CHELAN,,,,3.75,4,"Moore Point is a starting point for hikers tackling the Lakeshore Trail, a popular spring backpacking trip. This trail is free from winter snow earlier than many thanks to its low elevation, and because of that, it can get quite full in the early season. Consider starting your hike midweek if you prefer to hike in solitude.","['Wildflowers/Meadows', 'Mountain views', 'Dogs allowed on leash', 'Lakes', 'Established campsites']",0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
444,Mount Price,SNOQUALMIE REGION -- NORTH BEND AREA,13.5,4500.0,5000.0,,0,"A routefinding scramble to the summit of a mountain up the Middle Fork Snoqualmie. Climbing, gear, and routefinding experience required.","['Mountain views', 'Summits', 'Rivers', 'Ridges/passes']",0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
445,Mount David,CENTRAL CASCADES -- STEVENS PASS - EAST,14.0,5800.0,7420.0,3.71,7,This is a fantastic trip -- amble along a river before making a steep climb to breathtaking ridge walks and astounding views of the craggy Cascades.,"['Wildflowers/Meadows', 'Mountain views', 'Summits', 'Rivers', 'Waterfalls']",0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
446,Mohawk Falls and Mohawk Mine,CENTRAL CASCADES -- STEVENS PASS - WEST,0.6,200.0,1500.0,4.83,6,"A short, non-crowded hike to a great waterfall and historic mines.","['Old growth', 'Good for kids', 'Dogs allowed on leash', 'Waterfalls']",1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
447,Miners Ridge (Entiat),CENTRAL CASCADES -- ENTIAT MOUNTAINS/LAKE CHELAN,4.0,850.0,5750.0,3.8,5,Navigate through a recently burned area to reach the top of Miners Ridge and enjoy views of the Stuart Range and Lake Wenatchee.,"['Mountain views', 'Dogs allowed on leash', 'Ridges/passes']",0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
448,Monkey Bear Falls,CENTRAL CASCADES -- ENTIAT MOUNTAINS/LAKE CHELAN,5.0,200.0,,2.83,6,"Hike this lovely, flat trail in the forests of the North Cascades to a quiet waterfall about 2.5 miles from Holden Village.","['Mountain views', 'Dogs allowed on leash', 'Good for kids', 'Waterfalls']",1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
449,Mount Kent,SNOQUALMIE REGION -- NORTH BEND AREA,,,,4.0,1,A summit accessed via a scramble off of the south side of I-90. Cross country navigation experience and navigation required.,[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
450,Mission Ridge,CENTRAL CASCADES -- STEVENS PASS - EAST,14.0,3200.0,4963.0,2.8,5,"The Mission Ridge trail is primarily used by mountain bikes and dirt bikes, which can make for a nice, compacted trail. But by the same token, parts of the single-track can be a bit narrow and cupped, having been carved out by bikes. This can be a bit hard on the knees and ankles after awhile (especially with the additional weight of a backpack).","['Wildflowers/Meadows', 'Mountain views', 'Old growth', 'Wildlife']",0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
451,Monahan Mountain,SNOQUALMIE REGION -- SNOQUALMIE PASS,5.0,1600.0,3775.0,,0,Scramble to this peak in the Snoqualmie Pass region. Route finding experience recommended.,[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
